frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
1,1748368163.925806,box,"Old Box",0.206,6.801,4140.717,19.593,4390.494,13465,13465,6188,5170,47
2,1748368164.026001,box,"Old Box",0.205,6.148,4367.472,20.993,4729.194,13393,13393,6531,5481,50
3,1748368164.126200,box,"Old Box",0.191,6.311,4337.194,19.759,4599.612,13309,13309,6518,5469,50
4,1748368164.226398,box,"Old Box",0.191,6.222,4499.618,19.335,4863.274,13489,13489,6624,5537,46
5,1748368164.326593,box,"Old Box",0.196,6.288,3938.862,18.989,4187.969,13552,13552,6236,5128,47
6,1748368164.426771,box,"Old Box",0.192,6.302,4341.187,20.197,4602.323,13771,13771,6586,5477,48
7,1748368164.526985,box,"Old Box",0.199,6.417,4310.216,19.677,4687.636,13803,13803,6588,5483,50
8,1748368164.627185,box,"Old Box",0.192,6.362,4243.679,18.941,4511.117,13897,13897,6597,5511,47
9,1748368164.727378,box,"Old Box",0.191,9.064,4602.422,18.773,4881.843,14132,14132,6829,5796,46
10,1748368164.827579,box,"Old Box",0.191,6.410,4680.281,18.651,5050.568,14093,14093,6964,5884,47
11,1748368164.927773,box,"Old Box",0.193,6.394,4491.321,16.965,4753.146,14017,14017,6688,5578,41
12,1748368165.027968,box,"Old Box",0.190,6.569,4670.393,19.481,5044.623,14053,14053,6886,5746,47
13,1748368165.128188,box,"Old Box",0.195,6.465,4655.737,18.915,4926.898,13965,13965,6739,5582,46
14,1748368165.228343,box,"Old Box",0.191,6.378,4317.340,18.477,4588.692,13965,13965,6834,5661,48
15,1748368165.328560,box,"Old Box",0.188,6.346,4624.023,17.578,4992.751,13898,13898,6819,5665,44
16,1748368165.428759,box,"Old Box",0.206,6.313,4355.989,17.891,4619.190,13848,13848,6722,5564,43
17,1748368165.528953,box,"Old Box",0.194,6.513,4049.975,15.402,4301.564,14163,14163,6310,5154,39
18,1748368165.629153,box,"Old Box",0.192,6.387,4202.365,17.537,4562.506,14226,14226,6608,5475,44
19,1748368165.729347,box,"Old Box",0.196,9.065,4392.613,19.876,4662.895,14620,14620,6810,5670,51
20,1748368165.829545,box,"Old Box",0.209,6.722,4128.727,17.342,4386.187,14579,14579,6651,5525,45
21,1748368165.929738,box,"Old Box",0.194,6.503,3872.693,17.197,4213.547,14610,14610,6548,5423,42
22,1748368166.029931,box,"Old Box",0.277,12.247,3587.574,16.805,3849.168,14694,14694,6360,5207,43
23,1748368166.130140,box,"Old Box",0.199,6.619,3628.332,19.126,3979.390,14638,14638,6555,5389,49
24,1748368166.230335,box,"Old Box",0.202,6.637,3526.240,17.671,3773.666,14577,14577,6409,5214,45
25,1748368166.330534,box,"Old Box",0.209,6.673,3636.898,17.907,3889.664,14475,14475,6435,5240,46
26,1748368166.430724,box,"Old Box",0.222,6.776,3599.729,20.268,3955.499,14557,14557,6443,5261,54
27,1748368166.530921,box,"Old Box",0.197,6.748,3980.139,16.714,4239.549,14965,14965,6625,5430,43
28,1748368166.631117,box,"Old Box",0.213,6.755,4241.646,17.570,4505.923,15014,15014,6801,5608,46
29,1748368166.731314,box,"Old Box",0.211,6.895,4144.410,19.414,4497.555,15089,15089,6708,5522,51
30,1748368166.831509,box,"Old Box",0.208,6.969,4430.699,17.657,4697.918,15038,15038,6949,5790,45
31,1748368166.931711,box,"Old Box",0.193,6.592,4341.927,17.609,4700.800,14983,14983,6809,5715,44
32,1748368167.031904,box,"Old Box",0.205,6.808,4255.266,15.698,4503.956,14864,14864,6648,5610,37
33,1748368167.132101,box,"Old Box",0.214,6.673,3943.766,16.084,4196.106,14667,14667,6150,5340,37
34,1748368167.232305,box,"Old Box",0.227,6.611,3882.544,17.664,4232.038,14493,14493,5858,5340,43
