frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
1,1748368163.925806,lut_basic,"Basic Distance-Z Bounds",1.445,10.494,2956.562,16.340,3141.869,11589,11589,4440,3425,39
2,1748368164.026001,lut_basic,"Basic Distance-Z Bounds",1.288,6.110,3014.477,16.335,3293.588,11539,11539,4707,3664,41
3,1748368164.126200,lut_basic,"Basic Distance-Z Bounds",1.281,9.087,3210.204,15.928,3404.223,11451,11451,4794,3733,40
4,1748368164.226398,lut_basic,"Basic Distance-Z Bounds",1.309,8.967,3367.323,14.617,3562.704,11614,11614,4809,3733,35
5,1748368164.326593,lut_basic,"Basic Distance-Z Bounds",1.335,6.237,3155.515,14.744,3435.168,11610,11610,4607,3504,35
6,1748368164.426771,lut_basic,"Basic Distance-Z Bounds",1.319,6.211,3052.001,14.005,3230.655,11709,11709,4500,3407,33
7,1748368164.526985,lut_basic,"Basic Distance-Z Bounds",1.303,6.333,3243.727,14.636,3434.470,11660,11660,4790,3699,35
8,1748368164.627185,lut_basic,"Basic Distance-Z Bounds",1.338,6.297,3202.554,15.140,3491.784,11696,11696,4627,3578,36
9,1748368164.727378,lut_basic,"Basic Distance-Z Bounds",1.366,6.460,3168.845,14.627,3353.671,11851,11851,4529,3494,35
10,1748368164.827579,lut_basic,"Basic Distance-Z Bounds",1.314,6.335,3509.351,14.427,3704.049,11865,11865,4882,3807,35
11,1748368164.927773,lut_basic,"Basic Distance-Z Bounds",1.367,6.481,3352.232,13.576,3640.450,11844,11844,4552,3457,33
12,1748368165.027968,lut_basic,"Basic Distance-Z Bounds",1.386,6.584,3690.318,14.411,3894.949,11960,11960,4968,3840,33
13,1748368165.128188,lut_basic,"Basic Distance-Z Bounds",1.408,6.728,3728.511,15.705,3929.558,11885,11885,5018,3871,36
14,1748368165.228343,lut_basic,"Basic Distance-Z Bounds",1.403,6.589,3494.774,14.995,3791.644,11841,11841,4838,3677,34
15,1748368165.328560,lut_basic,"Basic Distance-Z Bounds",1.348,6.431,3353.182,12.741,3541.386,11765,11765,4773,3609,30
16,1748368165.428759,lut_basic,"Basic Distance-Z Bounds",1.304,6.363,2959.981,16.546,3148.711,11618,11618,4586,3426,42
