frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters,num_cones
1,1748368163.925806,lut,"LUT Bounding Box",0.902,2.249,3527.094,17.006,3734.243,4871,4871,4871,3851,38,13
2,1748368164.026001,lut,"LUT Bounding Box",0.891,2.184,3523.574,16.735,3821.826,4868,4868,4868,3822,37,13
3,1748368164.126200,lut,"LUT Bounding Box",0.934,2.344,3502.423,17.629,3706.254,4852,4852,4852,3792,38,13
4,1748368164.226398,lut,"LUT Bounding Box",0.860,2.130,3316.352,11.804,3509.754,4649,4649,4649,3571,34,5
5,1748368164.326593,lut,"LUT Bounding Box",84.085,84.439,507.222,2.889,761.784,1619,1619,1619,520,5,4
6,1748368164.426771,lut,"LUT Bounding Box",86.593,86.936,393.953,3.732,550.485,1573,1573,1573,460,6,5
7,1748368164.526985,lut,"LUT Bounding Box",88.633,88.997,343.053,2.818,502.953,1548,1548,1548,454,5,3
8,1748368164.627185,lut,"LUT Bounding Box",89.536,89.867,340.430,3.545,503.283,1500,1500,1500,455,6,4
9,1748368164.727378,lut,"LUT Bounding Box",89.464,89.800,407.454,2.761,676.150,1495,1495,1495,464,4,3
10,1748368164.827579,lut,"LUT Bounding Box",94.240,94.592,456.053,3.197,625.656,1580,1580,1580,499,5,4
11,1748368164.927773,lut,"LUT Bounding Box",94.340,94.695,510.946,3.996,682.628,1675,1675,1675,576,6,4
12,1748368165.027968,lut,"LUT Bounding Box",93.181,93.542,621.181,3.871,903.569,1699,1699,1699,573,6,5
13,1748368165.128188,lut,"LUT Bounding Box",96.173,96.573,619.467,4.028,791.958,1770,1770,1770,609,7,5
14,1748368165.228343,lut,"LUT Bounding Box",96.887,97.259,525.897,3.837,697.964,1688,1688,1688,538,7,5
15,1748368165.328560,lut,"LUT Bounding Box",96.880,97.255,524.583,3.393,699.299,1737,1737,1737,582,6,4
16,1748368165.428759,lut,"LUT Bounding Box",97.416,97.786,467.932,3.474,744.790,1690,1690,1690,540,6,4
