frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
1,1748368163.925806,pizza,"Pizza Slice",0.600,0.744,8.429,2.563,65.862,75,75,75,69,3
2,1748368164.026001,pizza,"Pizza Slice",0.578,0.694,12.333,2.551,161.415,114,114,114,108,5
3,1748368164.126200,pizza,"Pizza Slice",0.574,0.685,2.448,2.078,54.477,48,48,48,39,4
4,1748368164.226398,pizza,"Pizza Slice",0.598,0.731,11.439,1.868,64.833,118,118,118,109,4
5,1748368164.326593,pizza,"Pizza Slice",0.579,0.699,10.632,1.870,62.813,98,98,98,88,4
6,1748368164.426771,pizza,"Pizza Slice",0.541,0.629,1.477,0.732,139.429,33,33,33,27,1
7,1748368164.526985,pizza,"Pizza Slice",0.566,0.671,3.440,2.277,53.422,56,56,56,48,4
8,1748368164.627185,pizza,"Pizza Slice",0.548,0.647,1.925,1.290,50.924,45,45,45,34,2
9,1748368164.727378,pizza,"Pizza Slice",0.550,0.636,2.006,1.879,143.395,41,41,41,35,3
10,1748368164.827579,pizza,"Pizza Slice",0.560,0.649,1.975,1.691,50.860,41,41,41,35,3
11,1748368164.927773,pizza,"Pizza Slice",0.556,0.657,2.151,1.875,51.501,45,45,45,35,3
12,1748368165.027968,pizza,"Pizza Slice",0.587,0.737,51.772,2.076,109.891,276,276,276,267,3
13,1748368165.128188,pizza,"Pizza Slice",0.577,0.692,3.568,3.610,156.009,60,60,60,50,6
14,1748368165.228343,pizza,"Pizza Slice",0.586,0.709,2.436,2.616,58.297,51,51,51,38,4
15,1748368165.328560,pizza,"Pizza Slice",0.592,0.715,3.011,1.956,57.780,53,53,53,43,3
16,1748368165.428759,pizza,"Pizza Slice",0.594,0.735,2.925,2.400,56.736,54,54,54,43,4
17,1748368165.528953,pizza,"Pizza Slice",0.609,0.748,2.784,2.012,159.013,54,54,54,41,4
18,1748368165.629153,pizza,"Pizza Slice",0.681,0.853,3.374,2.863,68.452,55,55,55,46,5
19,1748368165.729347,pizza,"Pizza Slice",0.637,0.857,85.896,2.359,148.321,532,532,532,336,5
